Model,Training Accuracy,Testing Accuracy,Precision,Recall,F1 Score
Logistic Regression + StandardScaler,0.8186177508349823,0.8171119859284697,0.8050408719346049,0.6680610514414924,0.7301822675316652
Logistic Regression + MinMaxScaler,0.8140528316110186,0.8126727531619063,0.8027700831024931,0.6552854720180893,0.7215686274509804
Decision Tree + StandardScaler,0.9962308006407639,0.8588240221124047,0.8083596214511041,0.8111927642736009,0.8097737148016477
Decision Tree + MinMaxScaler,0.9962308006407639,0.8588240221124047,0.8084986474301172,0.8109666478236291,0.809730767059886
